,Facility Name,Resident Weeks,Covid Infections,Facility Infection Rate,County Infection Rate,Infection Score,Final Payment,Infection Rate,Rate Ratio
4272,TRUMAN HEALTHCARE & REHABILITATION CENTER,498.0,2,4.02,4.56,0.27,41681,4.016064257028112,0.881578947368421
4273,BELLEVIEW VALLEY NURSING HOME,484.0,0,0.0,1.19,0.57,75262,0.0,0.0
4274,MEDICALODGES NEOSHO,343.0,0,0.0,2.81,0.96,125667,0.0,0.0
4275,BUTLER CENTER FOR REHABILITATION AND HEALTHCARE,284.0,0,0.0,1.83,0.52,66635,0.0,0.0
4276,CEDAR POINTE,378.0,0,0.0,2.06,0.78,100015,0.0,0.0
4277,JEFFERSON CITY MANOR CARE CENTER,269.0,0,0.0,4.88,1.31,201764,0.0,0.0
4278,COX MEDICAL CENTERS MEYER ORTHOPEDIC AND REHAB,55.0,0,0.0,2.29,0.13,16146,0.0,0.0
4279,WEBB CITY HEALTH AND REHABILITATION CENTER,478.0,1,2.09,3.05,0.46,46858,2.092050209205021,0.6852459016393443
4280,DELMAR GARDENS SOUTH,869.0,0,0.0,1.37,1.19,122445,0.0,0.0
4281,GAINESVILLE HEALTH CARE CENTER,238.0,0,0.0,2.2,0.52,67178,0.0,0.0
4282,"NHC HEALTHCARE, MARYLAND HEIGHTS",829.0,0,0.0,1.37,1.14,175213,0.0,0.0
4283,PARKLANE CARE AND REHABILITATION CENTER,449.0,0,0.0,1.99,0.89,114622,0.0,0.0
4284,DELMAR GARDENS NORTH,831.0,0,0.0,1.37,1.14,155753,0.0,0.0
4285,PHELPS HEALTH,40.0,0,0.0,2.06,0.08,10584,0.0,0.0
4286,NORTH VILLAGE PARK,881.0,1,1.14,3.41,2.0,263225,1.1350737797956867,0.3343108504398827
4287,JONESBURG NURSING & REHAB,323.0,0,0.0,1.85,0.6,76710,0.0,0.0
4288,CARRIAGE SQUARE LIVING & REHAB CENTER,341.0,0,0.0,2.49,0.85,108777,0.0,0.0
4289,"PILLARS OF NORTH COUNTY HEALTH & REHAB CENTER, THE",254.0,0,0.0,1.37,0.35,44737,0.0,0.0
4290,LIFE CARE CENTER OF BRIDGETON,324.0,0,0.0,1.37,0.45,57066,0.0,0.0
4291,WESTWOOD LIVING CENTER,193.0,0,0.0,2.21,0.43,54642,0.0,0.0
4292,GOLDEN YEARS CENTER FOR REHAB AND HEALTHCARE,337.0,0,0.0,1.3,0.44,56195,0.0,0.0
4293,ALEXIAN BROTHERS LANSDOWNE VILLAGE,281.0,0,0.0,1.2,0.34,45318,0.0,0.0
4294,MARYVILLE LIVING CENTER,214.0,0,0.0,5.48,1.17,180302,0.0,0.0
4295,VALLEY MANOR AND REHABILITATION CENTER,317.0,0,0.0,0.8,0.25,32516,0.0,0.0
4296,RIVERBEND HEIGHTS HEALTH & REHABILITATION,606.0,0,0.0,2.34,1.42,185681,0.0,0.0
4297,RIVERDELL CARE CENTER,206.0,0,0.0,2.88,0.59,91260,0.0,0.0
4298,RIVERWAYS MANOR,214.0,0,0.0,3.18,0.68,87132,0.0,0.0
4299,LINN OAK REHABILITATION CENTER,232.0,0,0.0,5.92,1.37,191308,0.0,0.0
4300,STONEBRIDGE FLORISSANT,374.0,0,0.0,1.37,0.51,70212,0.0,0.0
4301,CRYSTAL OAKS,453.0,0,0.0,1.59,0.72,110526,0.0,0.0
4302,LIFE CARE CENTER OF WAYNESVILLE,296.0,0,0.0,1.58,0.47,71839,0.0,0.0
4303,JEFFERSON HEALTH CARE,178.0,0,0.0,2.08,0.37,37884,0.0,0.0
4304,NORTHWOOD HILLS CARE CENTER,470.0,0,0.0,2.75,1.29,165668,0.0,0.0
4305,RIDGEVIEW LIVING COMMUNITY,140.0,0,0.0,2.95,0.41,62411,0.0,0.0
4306,HERITAGE HALL NURSING CENTER,196.0,0,0.0,2.02,0.4,50679,0.0,0.0
4307,SUNSET HEALTH CARE CENTER,528.0,0,0.0,2.32,1.22,158006,0.0,0.0
4308,DELHAVEN MANOR,279.0,0,0.0,1.2,0.33,42860,0.0,0.0
4309,SHEPHERD OF THE HILLS LIVING CENTER,290.0,0,0.0,2.39,0.69,93808,0.0,0.0
4310,JORDAN CREEK NURSING & REHAB,389.0,0,0.0,2.29,0.89,123004,0.0,0.0
4311,GAMMA ROAD LODGE,213.0,0,0.0,1.85,0.39,50586,0.0,0.0
4312,FESTUS MANOR,555.0,0,0.0,1.59,0.88,135413,0.0,0.0
4313,RANCHO MANOR HEALTHCARE AND REHABILITATION CENTER,309.0,0,0.0,1.37,0.42,54424,0.0,0.0
4314,MAYWOOD TERRACE LIVING CENTER,206.0,0,0.0,2.08,0.43,54804,0.0,0.0
4315,MOBERLY NURSING & REHAB,273.0,0,0.0,3.41,0.93,119349,0.0,0.0
4316,GIDEON CARE CENTER,263.0,0,0.0,3.43,0.9,115697,0.0,0.0
4317,APPLE RIDGE CARE CENTER,206.0,0,0.0,2.34,0.48,61844,0.0,0.0
4318,WESTVIEW NURSING HOME,281.0,0,0.0,1.38,0.39,51742,0.0,0.0
4319,EDGEWOOD MANOR HEALTH CARE CENTER,232.0,0,0.0,2.08,0.48,61722,0.0,0.0
4320,OAK PARK CARE CENTER,380.0,0,0.0,1.2,0.46,58375,0.0,0.0
4321,TRUMAN LAKE MANOR INC,246.0,0,0.0,1.28,0.31,40270,0.0,0.0
4322,RIVERVIEW NURSING CENTER,145.0,0,0.0,3.66,0.53,68048,0.0,0.0
4323,JACKSON MANOR NURSING HOME,330.0,0,0.0,2.77,0.91,117140,0.0,0.0
4324,COMMUNITY SPRINGS HEALTHCARE FACILITY,341.0,0,0.0,1.99,0.68,87127,0.0,0.0
4325,MCDONALD COUNTY LIVING CENTER,315.0,0,0.0,1.39,0.44,56228,0.0,0.0
4326,MARK TWAIN CARING CENTER,313.0,0,0.0,3.12,0.98,133688,0.0,0.0
4327,BLOOMFIELD LIVING CENTER,106.0,0,0.0,3.05,0.32,41478,0.0,0.0
4328,SMITHVILLE LIVING CENTER,78.0,0,0.0,0.8,0.06,8001,0.0,0.0
4329,WILLARD CARE CENTER,229.0,0,0.0,2.29,0.52,67228,0.0,0.0
4330,TRUMAN GARDENS,178.0,0,0.0,2.08,0.37,47355,0.0,0.0
4331,WILLOW CARE REHABILITATION & HEALTH CARE CENTER,254.0,0,0.0,2.42,0.61,80352,0.0,0.0
4332,LAKE STOCKTON HEALTHCARE FACILITY,393.0,0,0.0,1.99,0.78,100414,0.0,0.0
4333,LEVERING REGIONAL HEALTH CARE CENTER,837.0,2,2.39,2.42,0.02,3737,2.389486260454002,0.987603305785124
4334,HOUSTON HOUSE,294.0,0,0.0,2.46,0.72,92892,0.0,0.0
4335,BRENT B TINNIN MANOR,177.0,0,0.0,1.91,0.34,48827,0.0,0.0
4336,COUNTRY AIRE RETIREMENT CENTER,145.0,0,0.0,2.76,0.4,61604,0.0,0.0
4337,"MARANATHA VILLAGE, INC",446.0,1,2.24,2.29,0.02,3290,2.242152466367713,0.9781659388646289
4338,REDWOOD OF RAYMORE,525.0,0,0.0,1.3,0.68,96355,0.0,0.0
4339,SIKESTON CONVALESCENT CENTER,299.0,0,0.0,3.52,1.05,134772,0.0,0.0
4340,GRAND RIVER HEALTH CARE,174.0,0,0.0,2.34,0.41,52148,0.0,0.0
4341,PIN OAKS LIVING CENTER,304.0,0,0.0,1.71,0.52,66618,0.0,0.0
4342,STONEBRIDGE MARYLAND HEIGHTS,647.0,0,0.0,1.37,0.89,121377,0.0,0.0
4343,ST GENEVIEVE CARE CENTER INC,270.0,0,0.0,3.12,0.84,107931,0.0,0.0
4344,CHAFFEE NURSING CENTER,282.0,0,0.0,3.52,0.99,127109,0.0,0.0
4345,ST CLAIR NURSING CENTER,264.0,0,0.0,2.32,0.61,78448,0.0,0.0
4346,PUXICO NURSING AND REHABILITATION CENTER,129.0,0,0.0,3.05,0.39,60574,0.0,0.0
4347,"BLUFFS, THE",406.0,0,0.0,2.02,0.82,83982,0.0,0.0
4348,NEW HAVEN LIVING CENTER,124.0,0,0.0,2.34,0.29,37226,0.0,0.0
4349,HEARTLAND CARE AND REHABILITATION CENTER,310.0,0,0.0,2.77,0.86,132049,0.0,0.0
4350,PINE VIEW MANOR INC,224.0,0,0.0,2.4,0.54,82853,0.0,0.0
4351,LEGENDARY NURSING & REHABILITATION LLC,156.0,0,0.0,2.5,0.39,50080,0.0,0.0
4352,SOUTH COUNTY NURSING HOME INC,350.0,0,0.0,1.59,0.56,71163,0.0,0.0
4353,LEE'S SUMMIT POINTE HEALTH & REHABILITATION,96.0,0,0.0,2.08,0.2,25540,0.0,0.0
4354,"WINDSOR ESTATES OF ST CHARLES SNAL, LLC",207.0,0,0.0,1.99,0.41,59504,0.0,0.0
4355,PARKVIEW HEALTH CARE FACILITY,319.0,0,0.0,2.75,0.88,112443,0.0,0.0
4356,SEVILLE CARE CENTER,194.0,0,0.0,1.82,0.35,54423,0.0,0.0
4357,NORTHVIEW VILLAGE,1009.0,0,0.0,1.2,1.21,158000,0.0,0.0
4358,CHARITON PARK HEALTH CARE CENTER,573.0,0,0.0,0.75,0.43,55391,0.0,0.0
4359,GOOD SHEPHERD CARE CENTER,377.0,0,0.0,3.74,1.41,210237,0.0,0.0
4360,HERITAGE NURSING CENTER-SKILLED NURS BY AMERICARE,196.0,0,0.0,2.95,0.58,74174,0.0,0.0
4361,HERITAGE CARE CENTER,522.0,0,0.0,1.37,0.72,91939,0.0,0.0
4362,GLASGOW GARDENS,167.0,0,0.0,1.96,0.33,41955,0.0,0.0
4363,TARKIO REHABILITATION & HEALTH CARE,154.0,0,0.0,1.28,0.2,27539,0.0,0.0
4364,BALLWIN RIDGE HEALTH & REHABILITATION,219.0,0,0.0,1.37,0.3,39809,0.0,0.0
4365,GASCONADE MANOR NURSING HOME,286.0,0,0.0,1.71,0.49,62824,0.0,0.0
4366,MINER NURSING CENTER,178.0,0,0.0,3.52,0.63,80232,0.0,0.0
4367,PORTAGEVILLE HEALTH CARE CENTER,272.0,0,0.0,3.43,0.93,119656,0.0,0.0
4368,ADVANCE NURSING CENTER,97.0,0,0.0,3.05,0.3,37957,0.0,0.0
4369,EAST PRAIRIE NURSING CENTER,105.0,0,0.0,2.49,0.26,33497,0.0,0.0
4370,MERAMEC NURSING CENTER,195.0,0,0.0,2.45,0.48,61239,0.0,0.0
4371,NATHAN RICHARD HEALTH CARE CENTER,194.0,0,0.0,1.81,0.35,44990,0.0,0.0
4372,PLEASANT HILL HEALTH AND REHABILITATION CENTER,400.0,0,0.0,1.3,0.52,79107,0.0,0.0
4373,WARSAW HEALTH AND REHABILITATION CENTER,381.0,0,0.0,1.76,0.67,103092,0.0,0.0
4374,BIG SPRING CARE CENTER FOR REHAB AND HEALTHCARE,235.0,0,0.0,2.75,0.65,82834,0.0,0.0
4375,MARSHFIELD CARE CENTER FOR REHAB AND HEALTHCARE,251.0,0,0.0,2.94,0.74,94596,0.0,0.0
4376,NORMANDY NURSING CENTER,126.0,0,0.0,1.37,0.17,22192,0.0,0.0
4377,MONTEREY PARK REHABILITATION & HEALTH CARE CENTER,344.0,0,0.0,2.08,0.71,73214,0.0,0.0
4378,STONECREST HEALTHCARE,277.0,0,0.0,1.19,0.33,42084,0.0,0.0
4379,HILLSIDE MANOR HEALTHCARE AND REHAB CENTER,632.0,0,0.0,1.2,0.76,116505,0.0,0.0
4380,PARKDALE MANOR CARE CENTER,167.0,0,0.0,5.48,0.91,123186,0.0,0.0
4381,HARTVILLE CARE CENTER,129.0,0,0.0,2.93,0.38,58157,0.0,0.0
4382,REDWOOD OF BLUE RIVER,587.0,0,0.0,2.08,1.22,187399,0.0,0.0
4383,CLARENCE CARE CENTER,161.0,0,0.0,1.52,0.24,33423,0.0,0.0
4384,SWEET SPRINGS VILLA,239.0,0,0.0,2.5,0.6,89992,0.0,0.0
4385,CRYSTAL CREEK HEALTH AND REHABILITATION CENTER,545.0,0,0.0,1.37,0.75,104892,0.0,0.0
4386,MALDEN NURSING & REHAB,140.0,0,0.0,2.95,0.41,52982,0.0,0.0
4387,LIFE CARE CENTER OF ST LOUIS,344.0,0,0.0,1.2,0.41,59191,0.0,0.0
4388,SILEX COMMUNITY CARE,273.0,0,0.0,1.82,0.5,63572,0.0,0.0
4389,SPRING RIVER CHRISTIAN VILLAGE INC,335.0,0,0.0,3.05,1.02,157068,0.0,0.0
4390,SOUTH HAMPTON PLACE,277.0,0,0.0,2.02,0.56,72830,0.0,0.0
4391,OREGON CARE CENTER,182.0,0,0.0,2.18,0.4,59994,0.0,0.0
4392,HICKORY MANOR,163.0,0,0.0,2.46,0.4,51501,0.0,0.0
4393,NAZARETH LIVING CENTER,399.0,0,0.0,1.37,0.55,70275,0.0,0.0
4394,TIMBERLAKE CARE CENTER,301.0,0,0.0,2.08,0.62,80078,0.0,0.0
4395,TRI-COUNTY CARE CENTER,282.0,0,0.0,1.71,0.48,74156,0.0,0.0
4396,VILLAGE CARE CENTER INC,180.0,0,0.0,5.48,0.99,144277,0.0,0.0
4397,MCLARNEY MANOR,185.0,0,0.0,1.54,0.29,36607,0.0,0.0
4398,COUNTRY CLUB CARE CENTER OF WARRENSBURG,276.0,0,0.0,2.24,0.62,79319,0.0,0.0
4399,LA BELLE MANOR CARE CENTER,251.0,0,0.0,2.76,0.69,95966,0.0,0.0
4400,CROWN CARE CENTER,407.0,0,0.0,1.3,0.53,81442,0.0,0.0
4401,MONITEAU CARE CENTER,124.0,0,0.0,4.77,0.59,75872,0.0,0.0
4402,SARCOXIE NURSING CENTER,167.0,0,0.0,3.05,0.51,78299,0.0,0.0
4403,FOUNTAINBLEAU NURSING CENTER,367.0,0,0.0,1.59,0.58,74619,0.0,0.0
4404,FULTON NURSING & REHAB,254.0,0,0.0,3.66,0.93,119200,0.0,0.0
4405,LAWSON MANOR & REHAB,200.0,0,0.0,1.29,0.26,33192,0.0,0.0
4406,CARRIE ELLIGSON GIETNER HOME,341.0,0,0.0,1.2,0.41,55859,0.0,0.0
4407,FRENE VALLEY OF OWENSVILLE-A STONEBRIDGE COMMUNITY,358.0,0,0.0,1.71,0.61,94368,0.0,0.0
4408,DUTCHTOWN CARE CENTER,362.0,0,0.0,1.2,0.43,55610,0.0,0.0
4409,ST FRANCOIS MANOR,416.0,0,0.0,2.85,1.19,152012,0.0,0.0
4410,BERTRAND NURSING AND REHAB CENTER,219.0,0,0.0,2.49,0.55,83838,0.0,0.0
4411,WINDSOR HEALTHCARE & REHAB CENTER,223.0,0,0.0,2.21,0.49,63135,0.0,0.0
4412,"LIVING CENTER, THE",334.0,0,0.0,2.5,0.84,107222,0.0,0.0
4413,LUTHER MANOR RETIREMENT & NURSING CENTER,231.0,0,0.0,2.42,0.56,71617,0.0,0.0
4414,SALT RIVER COMMUNITY CARE,298.0,0,0.0,1.52,0.45,65002,0.0,0.0
4415,"NICK'S HEALTH CARE CENTER, LLC",340.0,0,0.0,3.16,1.07,146638,0.0,0.0
4416,BEAUVAIS MANOR HEALTHCARE & REHAB CENTER,559.0,0,0.0,1.2,0.67,85873,0.0,0.0
4417,CARROLL HOUSE,185.0,0,0.0,2.1,0.39,49731,0.0,0.0
4418,SHIRKEY NURSING AND REHABILITATION CENTER,560.0,0,0.0,1.29,0.72,92938,0.0,0.0
4419,BELLEFONTAINE GARDENS NURSING & REHAB,271.0,0,0.0,1.37,0.37,57277,0.0,0.0
4420,OAK GROVE NURSING & REHAB,297.0,0,0.0,2.08,0.62,79014,0.0,0.0
4421,"ESTATES OF ST LOUIS, LLC, THE",375.0,0,0.0,1.37,0.52,66048,0.0,0.0
4422,BAISCH NURSING CENTER,212.0,0,0.0,1.59,0.34,43104,0.0,0.0
4423,MONTICELLO HOUSE,225.0,0,0.0,2.77,0.62,79868,0.0,0.0
4424,GRAND MANOR NURSING & REHABILITATION CENTER,370.0,0,0.0,1.2,0.44,56839,0.0,0.0
4425,OAKWOOD ESTATES NURSING & REHAB,305.0,0,0.0,1.37,0.42,64463,0.0,0.0
4426,CREVE COEUR MANOR,504.0,0,0.0,1.37,0.69,100259,0.0,0.0
4427,GREGORY RIDGE HEALTH CARE CENTER,564.0,0,0.0,2.08,1.17,150047,0.0,0.0
4428,MAGNOLIA SQUARE NURSING AND REHAB,479.0,0,0.0,2.29,1.1,168744,0.0,0.0
4429,ASHLEY MANOR CARE CENTER,188.0,0,0.0,2.88,0.54,83286,0.0,0.0
4430,HOLDEN MANOR CARE CENTER,163.0,0,0.0,2.24,0.37,46844,0.0,0.0
4431,RIVERVIEW AT THE PARK CARE AND REHABILITATION CTR,449.0,0,0.0,3.12,1.4,179485,0.0,0.0
4432,PLEASANT VIEW,175.0,0,0.0,1.28,0.22,28789,0.0,0.0
4433,SUNSET HOME,225.0,0,0.0,2.96,0.67,85515,0.0,0.0
4434,TIPTON OAK MANOR,278.0,0,0.0,4.77,1.33,170099,0.0,0.0
4435,WOODLAND MANOR,443.0,1,2.26,2.29,0.01,2234,2.257336343115124,0.9868995633187772
4436,LAWRENCE COUNTY MANOR,224.0,0,0.0,2.97,0.66,85197,0.0,0.0
4437,RICHLAND CARE CENTER INC,154.0,0,0.0,1.58,0.24,31147,0.0,0.0
4438,REDWOOD OF KANSAS CITY SOUTH,352.0,0,0.0,2.08,0.73,112376,0.0,0.0
4439,ST MARYS MANOR,332.0,0,0.0,2.08,0.69,88326,0.0,0.0
4440,FULTON MANOR CARE CENTER,170.0,0,0.0,3.66,0.62,79780,0.0,0.0
4441,LINCOLN COMMUNITY CARE CENTER,285.0,0,0.0,1.76,0.5,64263,0.0,0.0
4442,ST JOSEPH SENIOR LIVING,267.0,0,0.0,2.49,0.66,85171,0.0,0.0
4443,KNOX COUNTY NURSING HOME DISTRICT,200.0,0,0.0,1.01,0.2,25904,0.0,0.0
4444,BETHESDA DILWORTH,1035.0,0,0.0,1.37,1.42,218752,0.0,0.0
4445,"SUMMIT, THE",218.0,0,0.0,2.08,0.45,57997,0.0,0.0
4446,"VILLAS-A STONEBRIDGE COMMUNITY, THE",241.0,0,0.0,1.59,0.38,49001,0.0,0.0
4447,WORTH COUNTY CONVALESCENT CENTER,142.0,0,0.0,1.59,0.23,28937,0.0,0.0
4448,COMMUNITY CARE CENTER OF LEMAY INC,222.0,0,0.0,1.37,0.31,39101,0.0,0.0
4449,WESTPHALIA HILLS-A STONEBRIDGE COMMUNITY,263.0,0,0.0,5.92,1.56,199585,0.0,0.0
4450,COLUMBIA MANOR CARE CENTER,198.0,0,0.0,2.02,0.4,51196,0.0,0.0
4451,ADRIAN MANOR HEALTH & REHABILITATION CENTER,182.0,0,0.0,1.83,0.33,42703,0.0,0.0
4452,LIVING COMMUNITY OF ST JOSEPH,348.0,0,0.0,2.49,0.87,111010,0.0,0.0
4453,SCOTLAND COUNTY CARE CENTER,184.0,0,0.0,2.04,0.38,48117,0.0,0.0
4454,LA PLATA NURSING HOME,217.0,0,0.0,1.35,0.29,37539,0.0,0.0
4455,HEISINGER LUTHERAN HOME,227.0,1,4.41,4.88,0.11,16433,4.405286343612335,0.903688524590164
4456,RIDGE CREST NURSING CENTER,241.0,0,0.0,2.24,0.54,69260,0.0,0.0
4457,"NEIGHBORHOODS AT QUAIL CREEK, THE",359.0,0,0.0,2.29,0.82,126470,0.0,0.0
4458,ARMOUR OAKS SENIOR LIVING COMMUNITY,156.0,0,0.0,2.08,0.32,41502,0.0,0.0
4459,FOXWOOD SPRINGS LIVING CENTER,395.0,0,0.0,1.3,0.51,76834,0.0,0.0
4460,CRESTVIEW HOME,303.0,0,0.0,2.11,0.64,81850,0.0,0.0
4461,GARDEN VIEW CARE CENTER AT DOUGHERTY FERRY,242.0,0,0.0,1.37,0.33,42623,0.0,0.0
4462,MORNINGSIDE CENTER,221.0,0,0.0,2.34,0.52,66234,0.0,0.0
4463,SCHUYLER COUNTY NURSING HOME,184.0,0,0.0,0.99,0.18,27940,0.0,0.0
4464,BLUE CIRCLE REHAB AND NURSING,314.0,0,0.0,1.2,0.38,48236,0.0,0.0
4465,BRIDGEWOOD HEALTH CARE CENTER,765.0,0,0.0,2.08,1.59,218099,0.0,0.0
4466,ELSBERRY MISSOURI HEALTH CARE CENTER,248.0,0,0.0,1.82,0.45,57750,0.0,0.0
4467,PUTNAM COUNTY CARE CENTER,278.0,0,0.0,1.36,0.38,48568,0.0,0.0
4468,INDEPENDENCE CARE CENTER OF PERRY COUNTY,423.0,1,2.36,2.62,0.11,16870,2.3640661938534278,0.9007633587786259
4469,"QUARTERS AT DES PERES, THE",492.0,0,0.0,1.37,0.68,103986,0.0,0.0
4470,ST JOSEPH'S BLUFFS,212.0,0,0.0,4.88,1.03,132509,0.0,0.0
4471,ABBEY SENIOR HEALTH,246.0,0,0.0,1.99,0.49,62800,0.0,0.0
4472,APPLETON CITY MANOR,131.0,0,0.0,1.28,0.17,21445,0.0,0.0
4473,ROLLA HEALTH & REHABILITATION SUITES,381.0,0,0.0,2.06,0.79,100808,0.0,0.0
4474,TRUMAN MEDICAL CENTER LAKEWOOD CARE CENTER,773.0,1,1.29,2.08,0.6,92951,1.29366106080207,0.6201923076923077
4475,SEASONS CARE CENTER,321.0,0,0.0,2.08,0.67,87282,0.0,0.0
4476,ST JOSEPH CHATEAU,277.0,0,0.0,2.49,0.69,70689,0.0,0.0
4477,LINDEN WOODS VILLAGE,154.0,0,0.0,0.8,0.12,18956,0.0,0.0
4478,E W THOMPSON HEALTH & REHABILITATION CENTER,267.0,0,0.0,3.05,0.81,125334,0.0,0.0
4479,COTTON POINT LIVING CENTER,286.0,0,0.0,3.43,0.98,146491,0.0,0.0
4480,BIRCH POINTE HEALTH AND REHABILITATION,519.0,1,1.93,2.29,0.19,29007,1.9267822736030829,0.8427947598253275
4481,STEELVILLE SENIOR LIVING,232.0,0,0.0,2.45,0.57,72858,0.0,0.0
4482,COLUMBIA POST ACUTE,219.0,0,0.0,2.02,0.44,67951,0.0,0.0
4483,SUNTERRA SPRINGS SPRINGFIELD,165.0,0,0.0,2.29,0.38,58127,0.0,0.0
4484,"IGNITE MEDICAL RESORT KANSAS CITY, LLC",401.0,0,0.0,0.69,0.28,42416,0.0,0.0
4485,COPPER ROCK HEALTHCARE,281.0,0,0.0,2.94,0.83,84722,0.0,0.0
4486,SISTERS MISSION,52.0,0,0.0,1.2,0.06,7988,0.0,0.0
4487,SALEM CARE CENTER,199.0,0,0.0,1.82,0.36,46522,0.0,0.0
4488,PAUL L & MARTHA BARONE CARE CENTER,190.0,0,0.0,1.81,0.34,44062,0.0,0.0
4489,JEANNE JUGAN CENTER,230.0,0,0.0,2.08,0.48,61189,0.0,0.0
4490,CLARA MANOR NURSING HOME,297.0,0,0.0,2.08,0.62,79014,0.0,0.0
4491,HOPE CARE CENTER,80.0,0,0.0,2.08,0.17,21283,0.0,0.0
4492,PEMISCOT COUNTY MEMORIAL HOSPITAL,110.0,0,0.0,2.91,0.32,41040,0.0,0.0
4493,ST LOUIS ALTENHEIM,157.0,0,0.0,1.2,0.19,24118,0.0,0.0
4494,FIESER NURSING CENTER,202.0,0,0.0,1.37,0.28,35578,0.0,0.0
4495,MYERS NURSING & CONVALESCENT CENTER,283.0,0,0.0,2.08,0.59,75290,0.0,0.0
4496,BELLA TERRA OF BILLINGS,330.0,1,3.03,4.69,0.55,84221,3.0303030303030303,0.6460554371002131
4497,HERITAGE PLACE,338.0,0,0.0,4.97,1.68,215460,0.0,0.0
4498,HILLSIDE HEALTH & REHABILITATION,302.0,0,0.0,2.8,0.85,108437,0.0,0.0
4499,PARK PLACE TRANSITIONAL CARE AND REHABILITATION,439.0,0,0.0,3.74,1.64,210534,0.0,0.0
4500,MISSOULA HEALTH & REHABILITATION CENTER,155.0,0,0.0,2.8,0.43,55655,0.0,0.0
4501,BIG SKY CARE CENTER,150.0,0,0.0,2.37,0.36,45529,0.0,0.0
4502,LIVINGSTON HEALTH & REHABILITATION CENTER,223.0,0,0.0,2.25,0.5,64382,0.0,0.0
4503,CEDAR WOOD VILLA,211.0,0,0.0,2.97,0.63,95357,0.0,0.0
4504,ELKHORN HEALTHCARE & REHABILITATION,302.0,0,0.0,1.78,0.54,69058,0.0,0.0
4505,MARIAS CARE CENTER,96.0,0,0.0,10.98,1.05,135120,0.0,0.0
4506,CENTRAL MONTANA NURSING & REHABILITATION CENTER,205.0,0,0.0,3.57,0.73,93701,0.0,0.0
4507,COMMUNITY NURSING HOME OF ANACONDA,64.0,0,0.0,7.83,0.5,64269,0.0,0.0
4508,GALLATIN REST HOME,241.0,0,0.0,3.84,0.93,126844,0.0,0.0
4509,SHERIDAN MEMORIAL NURSING HOME,135.0,0,0.0,4.23,0.57,73218,0.0,0.0
4510,ROSEBUD HEALTH CARE CENTER,148.0,0,0.0,4.99,0.74,94680,0.0,0.0
4511,APPLE REHAB COONEY,270.0,0,0.0,2.37,0.64,81952,0.0,0.0
4512,FRIENDSHIP VILLA,187.0,0,0.0,4.0,0.75,95870,0.0,0.0
4513,GOOD SAMARITAN SOCIETY - MOUNTAIN VIEW MANOR,157.0,0,0.0,2.12,0.33,42710,0.0,0.0
4514,BEARTOOTH MANOR,184.0,0,0.0,3.38,0.62,79749,0.0,0.0
4515,ST LUKE COMMUNITY NURSING HOME,193.0,0,0.0,2.21,0.43,65698,0.0,0.0
4516,LAKE VIEW CARE CENTER,235.0,0,0.0,4.97,1.17,149802,0.0,0.0
4517,GLACIER CARE CENTER,139.0,0,0.0,10.53,1.46,187604,0.0,0.0
4518,CLARK FORK VALLEY NURSING HOME,126.0,0,0.0,1.02,0.13,16535,0.0,0.0
4519,BRENDAN HOUSE,383.0,0,0.0,4.97,1.9,244146,0.0,0.0
4520,LAUREL HEALTH & REHABILITATION CENTER,279.0,1,3.58,4.69,0.31,47432,3.5842293906810037,0.7633262260127931
4521,ROCKY MOUNTAIN CARE CENTER,150.0,0,0.0,2.37,0.36,45529,0.0,0.0
4522,BRIDGER REHAB AND CARE CENTER,194.0,0,0.0,3.84,0.74,95491,0.0,0.0
4523,PONDERA MEDICAL CENTER LTC,225.0,0,0.0,5.52,1.24,159072,0.0,0.0
4524,PARKVIEW CARE CENTER,372.0,0,0.0,4.69,1.74,223622,0.0,0.0
4525,SIDNEY HEALTH CENTER EXTENDED CARE,239.0,1,4.18,5.18,0.24,36752,4.184100418410042,0.8069498069498069
4526,CREST NURSING HOME,266.0,0,0.0,2.29,0.61,77934,0.0,0.0
4527,PIONEER CARE AND REHABILITATION,246.0,0,0.0,4.21,1.04,148650,0.0,0.0
4528,IMMANUEL SKILLED CARE CENTER,427.0,0,0.0,4.97,2.12,280086,0.0,0.0
4529,IVY AT DEER LODGE,224.0,0,0.0,4.96,1.11,171038,0.0,0.0
4530,ASPEN MEADOWS HEALTH AND REHABILITATION CENTER,323.0,1,3.1,4.69,0.51,71101,3.0959752321981426,0.6609808102345416
4531,TOBACCO ROOT MOUNTAINS CARE CENTER,104.0,0,0.0,2.4,0.25,38321,0.0,0.0
4532,MOUNTAIN VIEW CARE CENTER,99.0,0,0.0,2.21,0.22,28083,0.0,0.0
4533,SUMNER PLACE,424.0,0,0.0,2.13,0.9,138995,0.0,0.0
4534,ST JANE DE CHANTAL,554.0,0,0.0,2.13,1.18,151342,0.0,0.0
4535,BROOKSIDE REHABILITATION CENTER,477.0,0,0.0,2.13,1.02,138294,0.0,0.0
4536,FALLS CITY NURSING AND REHABILITATION CENTER,209.0,0,0.0,2.03,0.43,54503,0.0,0.0
4537,ROSE BLUMKIN JEWISH HOME,386.0,0,0.0,2.66,1.03,131506,0.0,0.0
4538,HIGHLAND PARK CARE CENTER,241.0,0,0.0,3.73,0.9,115175,0.0,0.0
4539,GOLD CREST RETIREMENT CENTER,205.0,0,0.0,3.26,0.67,85752,0.0,0.0
